tasks2_final.txt 1 98505 354.725799560547 3.8824999332428 1377.22290039063 34125151.7108612 378590.237106323 132486359.317444 34484855.2633514 382433.778555155 133882862.91864
tasks2_final.txt 2 99000 317.610168457031 3.8824999332428 1233.12145996094 32730618.4410706 376670.035034657 127073101.273376 33453227.208374 384357.089950085 129878521.020447
tasks2_final.txt 3 99000 276.226531982422 3.88299989700317 1072.58764648438 31535578.7909088 376672.408025265 122434062.332031 32098050.629837 384359.738413811 124617857.003052
tasks2_final.txt 4 99495 294.712371826172 3.8824999332428 1144.220703125 31524038.1215515 380515.36748004 122389121.866638 31981306.8204041 386280.822899103 124164450.132385
tasks2_final.txt 5 99000 210.977996826172 3.8824999332428 819.1220703125 22409242.433136 378614.059467793 87006544.4621582 22746588.5240326 384379.747886896 88316332.2684326
tasks2_final.txt 6 99000 275.880187988281 3.8824999332428 1071.10485839844 23333593.0425415 380534.307912111 90595146.1390991 23567748.0593567 384378.092857599 91504281.715332
tasks2_final.txt 7 99015 212.116241455078 3.88299989700317 823.647338867188 22391871.5655365 376749.580031633 86938929.7633057 22835760.7566223 384437.239926338 88662400.6101074
tasks2_final.txt 8 99000 188.661514282227 3.88299989700317 732.572631835938 22180580.0702057 376690.341924906 86118379.5161743 22613617.5236664 384378.009322643 87799715.1196899
tasks2_final.txt 9 99000 242.675033569336 3.8824999332428 942.185791015625 22156497.9646912 374768.309909105 86024885.2431641 22744955.3379364 384377.810783625 88309646.6609497
tasks2_final.txt 10 99000 309.33447265625 3.88199996948242 1200.83642578125 25991943.8352051 372838.348868608 100914102.320679 26774778.1883698 384369.549709558 103953503.534424
tasks2_final.txt 11 99015 197.708267211914 3.88199996948242 767.503479003906 24657452.9114075 374823.659628391 95733829.2125244 25190815.484314 384433.203500509 97804688.5004883
tasks2_final.txt 12 99000 192.767944335938 3.88199996948242 748.325134277344 22361733.5261078 372849.124565125 86822257.7646484 22990488.0352325 384380.645912647 89263503.1258545
tasks2_final.txt 13 99000 194.879379272461 3.88299989700317 756.716613769531 22269352.8796997 374771.016039133 86463678.8956909 22799238.6783295 384380.677411079 88521067.5314331
tasks2_final.txt 14 99000 246.930328369141 3.8824999332428 958.706970214844 22056806.9451294 376694.754554272 85638899.0484619 22473759.8682556 384382.474448919 87257801.1438599
tasks2_final.txt 15 99000 207.428085327148 3.88199996948242 805.23583984375 23664640.5759277 384378.51551342 91880441.8970947 23664640.5759277 384378.51551342 91880441.8970947
tasks2_final.txt 16 99000 326.826995849609 3.88199996948242 1268.74243164063 29253803.0197144 384365.709741354 113577230.960632 29253803.0197144 384365.709741354 113577230.960632
tasks2_final.txt 17 99000 211.286010742188 3.88199996948242 820.212280273438 21928392.647644 374772.444027424 85140212.6591797 22516422.1958313 384381.962393284 87423319.53302
tasks2_final.txt 18 98505 208.781402587891 3.88299989700317 810.698181152344 21865349.2464905 374772.262545347 84895367.3929443 22311067.5646515 382459.915941715 86625940.6763916
tasks2_final.txt 19 99000 207.070907592773 3.88299989700317 804.056335449219 21931699.1005402 372849.481034756 85152730.9169312 22627766.0458374 384380.857387781 87855291.022522
tasks2_final.txt 20 99000 462.308715820313 3.88199996948242 1794.68237304688 21220520.4808655 376694.415677786 82391727.7173462 21748021.5378113 384381.738583803 84439712.843689
tasks2_final.txt 21 99000 203.369186401367 3.88199996948242 789.479187011719 24666822.8521271 374764.327475309 95770172.3388672 25190585.9653473 384373.994354248 97803789.8283081
tasks2_final.txt 22 99000 203.074478149414 3.88299989700317 788.538208007813 22142126.0676575 376690.14304471 85969035.1223755 22662745.7454834 384377.493451118 87990322.5680542
tasks2_final.txt 23 99000 211.038543701172 3.88350009918213 819.568176269531 21622611.3354187 376692.107012749 83952438.0142822 22090319.5553284 384379.614409208 85768347.09729
tasks2_final.txt 24 99000 246.555862426758 3.8824999332428 957.253112792969 21756585.1099243 376691.841038466 84472534.4342041 22169119.7576752 384379.466937065 86074257.366272
tasks2_final.txt 25 99000 292.843933105469 3.8824999332428 1136.96655273438 22103684.1313629 376693.978011847 85820666.6617432 22560541.5105133 384381.577409029 87594473.0892334
tasks2_final.txt 26 99000 201.549743652344 3.8824999332428 782.516845703125 21837862.9800415 374770.31614089 84788114.3858032 22385530.2064209 384379.882014513 86914515.5717773
tasks2_final.txt 27 99000 287.415832519531 3.88199996948242 1115.74829101563 23030463.0591888 376690.187557697 89417993.4353638 23468942.1052551 384377.819960117 91120443.1271973
tasks2_final.txt 28 99000 196.019012451172 3.88299989700317 761.141784667969 22519432.008667 378614.796949387 87434646.1097412 22828454.4445801 384380.610372543 88634492.2325439
tasks2_final.txt 29 99000 192.803482055664 3.88299989700317 748.655883789063 21987447.1109161 376694.16598177 85369451.581665 22412014.7815857 384381.894375086 87017919.7457886
tasks2_final.txt 30 99000 302.889434814453 3.8824999332428 1175.96826171875 26411653.8434601 378608.228238344 102544851.643616 26792962.8399506 384373.905157566 104025328.923584
tasks2_final.txt 31 99000 193.025146484375 3.88199996948242 749.323608398438 22190990.6859894 376694.97789979 86159920.621521 22636015.0973663 384382.677297115 87887805.5535278
tasks2_final.txt 32 99000 263.753875732422 3.8824999332428 1024.0244140625 21791182.0532684 374773.550989628 84607671.6762695 22352309.4785004 384383.083359241 86786330.9187012
